"Notes","Year","Year Code","State","State Code",Cases,Percent of Total,Rate per 100,000,Population
,"2022","2022","Rhode Island","44",17,0.00%,1.55,1093734
,"2022","2022","South Carolina","45",101,0.02%,1.91,5282634
,"2022","2022","South Dakota","46",10,0.00%,1.10,909824
,"2022","2022","Tennessee","47",106,0.03%,1.50,7051339
,"2022","2022","Texas","48",1103,0.26%,3.67,30029572
,"2022","2022","Utah","49",33,0.01%,0.98,3380800
,"2022","2022","Vermont","50",3,0.00%,0.46,647064
,"2022","2022","Virginia","51",195,0.05%,2.25,8683619
,"2022","2022","Washington","53",251,0.06%,3.22,7785786
,"2022","2022","West Virginia","54",11,0.00%,0.62,1775156
,"2022","2022","Wisconsin","55",52,0.01%,0.88,5892539
,"2022","2022","Wyoming","56",1,0.00%,0.17,581381
"Total","2022","2022",,,8332,1.98%,2.50,333287557
,"2021","2021","Alabama","01",91,0.02%,1.81,5039877
,"2021","2021","Alaska","02",58,0.01%,7.92,732673
,"2021","2021","Arizona","04",129,0.03%,1.77,7276316
,"2021","2021","Arkansas","05",69,0.02%,2.28,3025891
,"2021","2021","California","06",1749,0.42%,4.46,39237836
,"2021","2021","Colorado","08",58,0.01%,1.00,5812069
,"2021","2021","Connecticut","09",54,0.01%,1.50,3605597
,"2021","2021","Delaware","10",41,0.01%,4.09,1003384
,"2021","2021","District of Columbia","11",18,0.00%,2.69,670050
,"2021","2021","Florida","12",500,0.12%,2.30,21781128
,"2021","2021","Georgia","13",222,0.05%,2.06,10799566
,"2021","2021","Hawaii","15",106,0.03%,7.35,1441553
,"2021","2021","Idaho","16",5,0.00%,0.26,1900923
,"2021","2021","Illinois","17",254,0.06%,2.00,12671469
,"2021","2021","Indiana","18",127,0.03%,1.87,6805985
,"2021","2021","Iowa","19",49,0.01%,1.53,3193079
,"2021","2021","Kansas","20",43,0.01%,1.47,2934582
,"2021","2021","Kentucky","21",57,0.01%,1.26,4509394
,"2021","2021","Louisiana","22",86,0.02%,1.86,4624047
,"2021","2021","Maine","23",14,0.00%,1.02,1372247
,"2021","2021","Maryland","24",193,0.05%,3.13,6165129
,"2021","2021","Massachusetts","25",151,0.04%,2.16,6984723
,"2021","2021","Michigan","26",137,0.03%,1.36,10050811
,"2021","2021","Minnesota","27",134,0.03%,2.35,5707390
,"2021","2021","Mississippi","28",46,0.01%,1.56,2949965
